Sentiment,textOriginal
0,"My biggest problem with AI Art is that it devalues the time and energy artists pour into honing their skill, thus making any future artists hesitant about becoming an artist because an AI can do it better, faster AND for a lot less. If a bot can make art better than you, faster than you, and cheaper than your prices then what's the point of working as an artist? None. This can, if handled even a bit poorly, kill off a large part of the artist community simply because they've been shown up by a bot and feel like they've just wasted their time."
2,When new mommy Ina model?
2,"Ina just like a lot of people are misinformed on how these AI work and i don't blame them because most people have no clue, because honestly this stuff is almost wizardry, those who don't know really should take the time and see how it really works, there's plenty of videos explaining this in great detail.
The model itself does not contain a ""database of images"" that uses to copy paste stuff like an interpolation or extrapolation  collage machine.
It simply doesn't work that way, after it learns from the images it does not ""trace"" from them because it doesn't store them at all, it literally is making a new image from scratch entirely, just like a human would do if they learned how to draw.
A Human doesn't need ""permission"" from another artists to ""copy"" or imitate their style as long as it's not literally the same image or bases their image on their work (and the AI doesn't do that either, it doesn't use something as a base unless you the person explicitly and intentionally do it yourself with img2img).
If someone, a traditional artist, copied someone else's drawing style, they can do it and do whatever they want with it, there's many cases where someone imitated someone's style and managed to do it even better than the original and there's nothing they can do about it legally.
It quite literally learned just like a human would, by looking at images, not storing them.
If it stored them and copied from then it would lose the entire point of an AI that draws by itself, the idea of these AI is to being able to do stuff by themselves with the least input possible and that's what people don't get, (And in fact the model itself would be TBs in size if it stored the images, the model got leaked and it isn't nearly as big as that, in fact you could try to reverse engineer it's code and try to get the images from it, and you wouldn't be able to, simply because the images are not stored in any shape of form, they are not there, it doesn't need the images anymore, that's why there's nothing illegal about it)
As it stands now it's just a tool, if they want to sell they AI generations they can do that too no problem, it's okay as long as you are not doing anything illegal and you are upfront that you are using AI, because if someone wants to buy AI images that's their own business, they decide what they do with their own money, i repeat, if they want to buy images knowing it's AI generated it is their problen because it's their money.
It has it's limitations, consistency is one of them so someone ""pretending to be an artist"" using AI without telling anybody isn't realistic without getting caught.

And because AI is jsut a tool, there will be people better than others at using it, if you want something random yeah you can just use a prompt and there you go, but if you want something very specific it's not gonna be as easy to make it happen exactly how you want and that's where actual artistic skill comes into play in combination with AI, it might become another field in digital art or it could just become an integral part just like when photoshop came out, when photoshop and similar software got popular there was pretty much this same discussion going on which is silly to think about now, and this aswell will be silly some years from now, specially because this is just the ""on diapers"" era of AI generated images, it's gonna get much more scary.
With all of that said, AI will push traditional artists to improve their own creativity, not the other way around, AI right now has a lot of limitations, things that only real people can make, such as visual comedy or complex drawings.
With AI you can have very well drawn stuff but that doesn't mean it's complex and creative just because it's well drawn, it's still going to come down to the creativity of people, for now until AIs that understand english start making stuff without human input and figure out how ""creativity"" works (because even that has it's method), probably at 10 years or more from now, until then artists should just focus on improving their own stuff, this won't take their jobs as long as they keep being creative.

TL;DR Only scrub artists are worried about this, if you're actually creative (even if you lack skill doesn't mean you cannot be more creative than an AI and have it look good) you have nothing to worry about, artists who are actually skilled and creative (and that understand how this really work) are not worried about this stuff, Ina isn't either it's just that she is misinformed and is worried that other people's work are being illegally used.
And with scrubs i mean artists that instead of focusing on improving they just want to complain, specially those who are not that good, now they will be forced to go beyond ""just drawing well"" if they want to sell a sketch for 100 USD , they need to get creative now and most people suck at that, not even an AI has figured out how that works, yet.
an AI isn't magic either, boring people using it will generate boring images, it is not sentient, if you want something funky and stylized it won't do it by itself, if there was some kind of AI art tournament or competition, i guarantee you the winner won't win by pure luck or coincidence and will consistently make better AI art than the others, and that's because you can go beyond just typing a prompt."
0,"I feel this whole thing is gonna just...
not fuck over the ai company and they'll keep their database while boorus everywhere just get fucked."
1,"It's great to see a big name vTuber bringing up some of the actual ethical issues with the way researchers gather data, and big data harvests image sets to sell to researchers. So many of talents are just like, ""Technology is scary and people who use modern tools aren't real artists. durr,"" without giving any consideration to what kind of damage they might do to people's livelihoods, so this is really refreshing."
2,Streamers should just make AI art tags.
2,"honestly its all comes down to effort, i like the potential of Ai Art but i dislike that people claim they are an ""Artist"" or have good art when its all just a couple minutes of typing and a click no matter if its fair use or not"
2,"Imo, it's a tool like any other. The good artists may use it as a source of inspiration - I.E: think of it like being in a character customizer in a game, and hitting random until you have a baseline you like and tweaking it from there.

Personal opinion, which may be optimistic, it helps speed up the turnaround time of good artists, and weed out hacks.
I mean, anime has already been using AI generation to animate the ""in-between"" frames for a long time now."
2,ai generated images are really fascinating but it shouldn't be called art whatsoever
2,"AI art is a weird thing. What do we make of it when it eventually becomes legitimate artificial intelligence, instead of just a fancy machine-learning algorithm? As of now, as she said, it's trained using internet repositories which has... questionable moral implications, at best. But what do we make of it when it can teach itself instead of simply mimicking and combining the work of others?"
